/Users/piasommerauer/Data/dsm/coha/coha_1930/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1930/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1930/sgns_rand_pinit3/sgns_rand_pinit3
racial,racial,racial
religious,linguistic,linguistic
sex,cultural,sex
linguistic,religious,religious
individuals,moral,geographical
cultural,individuals,moral
moral,geographical,social
geographical,conflicts,jews
groups,political,individuals
social,sex,cultural
culture,urban,urban
urban,physiological,physiological
catholic,emotional,political
trait,unity,groups
hereditary,sexes,economic
differences,historical,fundamental
individual,differences,sexes
language,socialist,community
emotional,groups,conflicts
situations,mental,trait
economic,physical,prejudice
persecution,economic,spiritual
proletarian,phonetic,idealism
prejudice,language,membership
minorities,persecution,language
