feature,cos,f1-nearest_neighbors,f1-logistic_regression,f1-neural_net_classification,type
is_heavy,0.15,0.15,0.17,0.21,op
is_strong,0.15,0.13,0.13,0.34,e
is_thin,0.16,0,0.05,0.1,vp
is_hard,0.16,0.15,0.08,0.26,op
is_expensive,0.16,0,0.28,0.37,e
made_of_metal,0.16,0.14,0.84,0.82,vp
made_of_wood,0.17,0.14,0.62,0.62,vp
is_long,0.17,0.11,0.28,0.34,vp
is_noisy_loud,0.18,0.32,0.36,0.52,op
is_small,0.18,0.15,0.44,0.45,vp
is_big_large,0.18,0.23,0.43,0.48,vp
is_white,0.18,0.03,0.12,0.3,vp
made_of_plastic,0.18,0.16,0.62,0.6,vp
is_useful,0.19,0.24,0.4,0.54,e
is_circular_round,0.19,0.19,0.31,0.41,vp
is_for_children,0.19,0.22,0,0.19,f
is_black,0.2,0.29,0.23,0.24,vp
is_electric,0.21,0.48,0.5,0.69,vp
is_dangerous,0.21,0.53,0.57,0.59,e
is_colourful,0.21,0.14,0.25,0.32,vp
is_brown,0.21,0.13,0.22,0.33,vp
has_a_handle_handles,0.22,0.44,0.57,0.58,p
has_a_seat_seats,0.22,0.43,0.3,0.48,p
does_smell_is_smelly,0.22,0.08,0.15,0.37,op
made_of_glass,0.22,0.29,0,0.28,vp
has_a_point,0.23,0.38,0.23,0.47,p
does_protect,0.24,0.38,0.26,0.37,f
is_yellow,0.24,0.22,0,0.23,vp
is_soft,0.24,0.12,0,0.16,op
is_red,0.25,0.34,0.13,0.27,vp
is_fast,0.25,0.3,0.31,0.48,vp
is_tall,0.25,0.43,0.57,0.65,vp
is_a_tool,0.26,0.5,0.51,0.47,t
does_carry_transport,0.26,0.65,0.54,0.61,f
is_pink,0.27,0.19,0,0.17,vp
has_skin,0.27,0.43,0.36,0.56,p
made_of_fabric_cloth_material,0.27,0.42,0.77,0.77,vp
is_pretty_attractive_beautiful,0.27,0.31,0.48,0.53,e
has_legs,0.28,0.62,0.67,0.67,p
does_kill,0.28,0.64,0.48,0.62,f
is_sharp,0.29,0.64,0.55,0.67,op
has_eyes,0.29,0.34,0.14,0.22,p
has_an_engine,0.3,0.67,0.56,0.63,p
has_teeth,0.3,0.45,0.29,0.57,p
is_a_weapon,0.3,0.74,0.56,0.63,t
is_green,0.31,0.45,0.45,0.45,vp
has_a_blade_blades,0.32,0.68,0.65,0.74,p
is_worn,0.32,0.47,0.86,0.9,f
has_wheels,0.32,0.82,0.83,0.87,p
is_found_in_kitchens,0.33,0.56,0.73,0.76,e
does_fly,0.33,0.57,0.76,0.76,f
has_a_tail,0.33,0.53,0.68,0.69,p
is_an_animal,0.33,0.64,0.76,0.78,t
is_eaten_edible,0.33,0.37,0.88,0.85,f
has_four_legs,0.34,0.67,0.66,0.66,p
is_a_vehicle,0.34,0.76,0.69,0.79,t
does_eat,0.34,0.68,0.71,0.68,f
has_feathers,0.34,0.6,0.79,0.88,p
does_lay_eggs,0.34,0.29,0,0.22,e
has_fur_hair,0.34,0.56,0.65,0.68,p
is_used_in_cooking,0.34,0.33,0.54,0.57,f
has_wings,0.34,0.58,0.78,0.85,p
has_flesh,0.35,0.49,0.22,0.46,p
has_claws,0.35,0.39,0.24,0.47,p
is_warm,0.35,0.55,0.37,0.56,op
is_tasty,0.35,0.33,0.83,0.85,op
does_make_sound_a_noise,0.35,0.72,0.72,0.75,op
is_food,0.36,0.2,0.52,0.6,t
is_for_women_females_girls,0.36,0.53,0.62,0.7,f
has_a_beak,0.37,0.63,0.83,0.87,p
made_of_cotton,0.37,0.68,0.56,0.64,vp
has_roots,0.37,0.3,0.65,0.72,p
is_a_mammal,0.37,0.69,0.85,0.86,t
does_grow,0.37,0.52,0.81,0.81,e
is_a_plant,0.37,0.43,0.63,0.64,t
has_leaves,0.37,0.41,0.71,0.78,p
is_found_in_seas,0.38,0.79,0.79,0.78,e
is_a_bird,0.38,0.63,0.84,0.87,t
is_sweet,0.38,0.55,0.75,0.8,op
is_clothing,0.38,0.74,0.86,0.87,t
does_swim,0.39,0.68,0.73,0.76,f
does_live_in_water,0.39,0.58,0.27,0.48,e
is_an_insect,0.4,0.68,0.61,0.72,t
has_a_stalk_stem,0.4,0.48,0.55,0.63,p
is_healthy,0.41,0.43,0.35,0.42,e
is_grown,0.42,0.48,0.3,0.42,f
is_a_fruit,0.44,0.63,0.75,0.83,t
has_skin_peel,0.46,0.65,0.67,0.73,p
is_a_musical_instrument,0.46,0.86,0.91,0.94,t
has_pips_seeds,0.47,0.5,0.08,0.46,p
is_juicy,0.5,0.71,0.48,0.56,op
is_a_vegetable,0.52,0.78,0.75,0.81,t
is_played_does_play,0.53,0.9,0.98,0.98,f
does_make_music,0.55,0.89,0.95,0.92,f
spearman-r,,0.72,0.52,0.59,
