words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-shuff-2018-07-18-12:20:49-001721-loo,pred-neural_net_classification-default-shuff-2018-07-18-13:33:48-957609-loo
whisky,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
tomato,0.742864932811673,1,1,1,1,1,1,1,1,1,1,1,1,1,1
strawberry,0.7401314663963887,1,0,1,1,1,1,1,1,1,1,1,1,0,0
apple,0.7008373647907018,1,0,1,1,1,1,1,1,1,1,1,1,1,1
asparagus,0.6967814281164285,0,0,1,1,1,1,1,1,1,1,1,1,0,0
grape,0.6958897350005008,1,1,0,1,1,1,1,1,1,1,1,1,1,1
radish,0.6924371229762797,1,0,0,1,1,1,1,1,1,1,1,1,0,0
cucumber,0.68879263330679,0,1,1,1,1,1,1,1,1,1,1,1,1,1
celery,0.6873080066395003,0,0,1,1,1,1,1,1,1,1,1,1,1,0
cabbage,0.6839040555178589,1,0,0,1,1,1,1,1,1,1,1,1,0,0
raspberry,0.678112884353322,1,1,0,1,0,1,1,1,1,1,1,1,1,1
onion,0.6758799270197882,1,0,0,1,0,0,1,1,1,1,1,1,0,0
cauliflower,0.6585864096506009,0,0,0,1,1,1,1,1,1,1,1,1,0,0
garlic,0.64917690886018,0,0,0,1,0,1,1,1,1,1,1,1,0,0
artichoke,0.6453402704263691,0,0,0,1,0,1,1,1,1,1,1,1,0,0
broccoli,0.6406044042484891,0,0,0,1,0,0,1,1,1,1,1,1,0,0
courgette,0.624655223496037,0,0,0,1,0,0,0,0,0,0,1,1,0,0
parsley,0.6146047118036556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiwi_fruit,0.605620816862499,0,1,0,0,0,0,0,0,0,0,0,0,1,1
currant,0.5973385464967039,1,1,0,0,0,0,0,0,0,0,0,0,1,1
brussel_sprouts,0.5891815698238907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peas,0.5829756328475307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geranium,0.5822759852554767,1,0,0,0,0,0,0,0,0,0,0,0,0,0
olive,0.5800367773668125,0,0,0,0,0,0,0,0,0,0,0,0,1,1
carnation,0.5746682669015668,1,1,0,0,0,0,0,0,0,0,0,0,1,1
aubergine,0.5639874313045496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daffodil,0.563913904707142,0,1,0,0,0,0,0,0,0,0,0,0,1,1
crab,0.563378941150042,1,1,0,0,0,0,0,0,0,0,0,0,1,1
jelly,0.5624023534985058,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sunflower,0.5610928729476592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ketchup,0.557449038823671,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chocolate,0.5546669285621335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cherry,0.5545935040394828,1,1,0,0,0,0,0,0,0,0,0,0,1,1
lobster,0.5332995360116616,1,0,0,0,0,0,0,0,0,0,0,0,0,0
coconut,0.5200955081555254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayonnaise,0.5179393046118483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wine,0.5138657138721028,1,0,0,0,0,0,0,0,0,0,0,0,0,0
corn,0.5020290672015136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gherkin,0.498878812431911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,0.49453893481107747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mussel,0.4919515010141899,0,1,0,0,0,0,0,0,0,0,0,0,1,1
poppy,0.490959342202663,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rice,0.48587833306429723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flour,0.4684736642988957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar,0.4683557968696825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pine,0.466738237789972,0,0,0,0,0,0,0,0,0,0,0,0,1,0
yoghurt,0.45517747697647565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,0.4528040047949654,1,0,0,0,0,0,0,0,0,0,0,0,0,0
skunk,0.44712802626500736,0,0,0,0,0,0,0,0,0,0,0,0,1,1
bread,0.44167828056394937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffee,0.4282578112926906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milk,0.4273818657169164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,0.42490022337269406,0,0,0,0,0,0,0,0,0,0,0,0,1,1
tongue,0.41740454389791254,1,1,0,0,0,0,0,0,0,0,0,0,1,1
hair,0.4142200280825984,1,0,0,0,0,0,0,0,0,0,0,0,1,1
lipstick,0.40626750985850063,1,1,0,0,0,0,0,0,0,0,0,0,1,1
