words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
armour,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
rolling_pin,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
tyre,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
doughnut,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
axe,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
kitchen_scales,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
land_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
stick_insect,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_pot,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_machine,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
oil_tanker,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
chest_of_drawers,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
range_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
pyjamas,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
can_opener,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
plough,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
catalogue,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
aeroplane,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
spirit_level,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
castenets,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
cutting_board,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
whisky,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
melon,0.60596597945801,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
pear,0.5912770895190272,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
marble,0.5875792813449198,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
apple,0.5514672964443726,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
peach,0.5504149636393537,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
stone,0.5493620867945392,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
satsuma,0.529985868643362,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
turnip,0.5293034002514969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seashell,0.5281407663690592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pumpkin,0.525994098540651,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
oak,0.5121728880089127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
potato,0.5116052697370648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coconut,0.5096291862591887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cucumber,0.506168784399804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pine,0.5040058158768995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoon,0.49807218686562826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watermelon,0.4977758053740207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemon,0.4971465170271936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trowel,0.4953995317230332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brick,0.492218475645814,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
banana,0.49072989737230327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
courgette,0.4897993009470115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mango,0.48954229202660937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fern,0.48687318743861563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moss,0.48557164704504124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asparagus,0.4853200253389751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chisel,0.4852784796228401,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
jar,0.48436701418766487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato,0.47955130729136064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pineapple,0.47929556581489485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lime,0.4791240517206526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grape,0.4757410345655866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apricot,0.4727396433872821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artichoke,0.47149936583275864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jug,0.46989332969228137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grapefruit,0.46863286470926624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cork,0.4672094821652901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
onion,0.4670726359209242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avocado,0.4669784172204241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radish,0.46674970719028164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willow,0.46655993826303954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabbage,0.4655858917909609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olive,0.4651683129000908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thimble,0.4650351681727677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crab,0.4631959784462054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garlic,0.4629715003757275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peeler,0.46129943639758414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cherry,0.4588431539249753,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
nut,0.4583220461676369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strawberry,0.45750981683984693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dandelion,0.45745083628538896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birch,0.4557699662127839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jelly,0.4552392910516696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raspberry,0.454868463089189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhubarb,0.4544540793516459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chandelier,0.4542856363741331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sellotape,0.45196864731866837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raisin,0.45143598042805066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nectarine,0.4497151776047777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueberry,0.44730237165501363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sock,0.4464218506174037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
