words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
kitchen_scales,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
rolling_pin,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
land_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
aeroplane,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
axe,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
oil_tanker,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
tyre,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
plough,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
cutting_board,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
pyjamas,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
range_rover,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
armour,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_pot,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_machine,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
whisky,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
catalogue,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
doughnut,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
spirit_level,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
castenets,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
stick_insect,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
can_opener,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
chest_of_drawers,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
potato,0.7600462840756365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sweet_potato,0.7459496986212166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cheese,0.7285637329958327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tomato,0.7182816772239646,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
asparagus,0.7100432602645894,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
shrimp,0.6965268838048224,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
soup,0.6912419162154673,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
strawberry,0.6864447194332319,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
celery,0.681816606475392,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
onion,0.6787155353378267,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
chicken,0.677441462545759,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
broccoli,0.6763100047091952,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
blueberry,0.6728878272378311,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
cauliflower,0.6727490990000832,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
cabbage,0.670048768280522,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
lobster,0.6670098652361998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pear,0.6662440064881144,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
spinach,0.6643384441614104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhubarb,0.6634586138774372,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
artichoke,0.6631949680175067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayonnaise,0.6611381840496838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crab,0.6597508932117331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
courgette,0.6595665148852281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avocado,0.6564663390461012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mango,0.6552635626889212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pineapple,0.6532496744568099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cucumber,0.6521215475359154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacon,0.6494625904739455,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
biscuit,0.6489705385974687,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
melon,0.6461836794313429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prawn,0.6451503222642312,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
watermelon,0.6428035139466128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lettuce,0.6422596982414808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuna,0.6411187815435837,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
bean,0.6410379971211486,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
garlic,0.6362900175173043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scallop,0.6339375784126957,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
chocolate,0.6302470704386353,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
radish,0.6232128145054695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandwich,0.6163809137869438,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
parsley,0.6161751516955949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pumpkin,0.6154820264000622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banana,0.6140142284725713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brussel_sprouts,0.6095513977477258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,0.6090428126741734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice,0.6087736517517015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ice_cream,0.6085606998760992,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
mushroom,0.6085148733001958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apricot,0.6067141635058695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peas,0.6054167565618209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peanut,0.6033323960261527,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
raisin,0.6030101843762836,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
bread,0.6023672194978471,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ketchup,0.6000839422408955,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ham,0.5997433399117856,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
leek,0.598500521746407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yoghurt,0.5981813914351495,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
jelly,0.5936719627101175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oyster,0.5931406047269484,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
peach,0.5895769054483829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turkey,0.580922583945658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemon,0.5783595078896068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,0.5779348561075688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flour,0.5730629694287177,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
satsuma,0.5698898425551611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grape,0.5626945148582835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mussel,0.5608705569217498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pie,0.5603528390248789,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
gherkin,0.5587367904342126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seaweed,0.5585534725415413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coconut,0.5572926778764464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corn,0.5561213710419058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clam,0.5545935824596661,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
butter,0.5507926795658702,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
nectarine,0.5491533070650345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grapefruit,0.538114560000878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiwi_fruit,0.5336016202169795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar,0.5325148992827855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sardine,0.5312700644335405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milk,0.526904737968225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raspberry,0.524972723587265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cake,0.5214992156616803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salmon,0.5208290565061258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunflower,0.5202974199037643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herring,0.5184839529416669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mackerel,0.5175575987354505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aubergine,0.5163432571117466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0.5112895418785486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olive,0.5104516805681412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sultana,0.508714723582093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squid,0.4981774892397839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crayfish,0.4974070275185883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cod,0.4963010779698501,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
