words,cosines,gold,pred-logistic_regression-default-loo,pred-nearest_neighbors-100-loo,pred-nearest_neighbors-1000-loo,pred-nearest_neighbors-200-loo,pred-nearest_neighbors-300-loo,pred-nearest_neighbors-400-loo,pred-nearest_neighbors-500-loo,pred-nearest_neighbors-600-loo,pred-nearest_neighbors-700-loo,pred-nearest_neighbors-800-loo,pred-nearest_neighbors-900-loo,pred-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868,pred-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647,pred-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309,pred-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390,pred-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo,pred-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo
aeroplane,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
kitchen_scales,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
doughnut,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
plough,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
chest_of_drawers,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
pyjamas,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
tyre,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
can_opener,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
cutting_board,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
rolling_pin,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
castenets,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_pot,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
stick_insect,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
spirit_level,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
armour,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
axe,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
catalogue,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
range_rover,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
coffee_machine,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
oil_tanker,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
whisky,nan,0,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
land_rover,nan,1,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV,OOV
van,0.7380998874246778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bicycle,0.7111147755801276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
truck,0.705629341175119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
car,0.6989327302690519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
moped,0.6915546741336542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bus,0.6899226066078865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tricycle,0.6812479460718697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tractor,0.6812433090660127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jeep,0.6736192553750219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
trolley,0.6693160359149071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cart,0.6563315687251858,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lorry,0.6495536144017384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
motorcycle,0.6464036775233843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
taxi,0.6354955599827742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
buggy,0.6267760993489316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wheelbarrow,0.607887321907016,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pram,0.5872863801745412,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
wheelchair,0.5811409092533977,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
caravan,0.5651387248445463,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
train,0.5628352616953405,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
limousine,0.5509470556224899,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
skateboard,0.5458416794502646,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
carriage,0.5447486359840301,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
unicycle,0.5429913036087369,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ambulance,0.5185047562545391,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
canoe,0.5088183210430105,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
boat,0.5034324435236359,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
speedboat,0.5032084985843772,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
donkey,0.4802000720410912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kayak,0.47430700785483004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollerskate,0.46704222273677226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ferry,0.46401935321607657,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
helicopter,0.4637116024104155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sledge,0.44777406059482483,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
wheel,0.4468665850326979,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
crane,0.44361526676293905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crane,0.44361526676293905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dinghy,0.4406938705951836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glider,0.4328659065005482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surfboard,0.43080875657632356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chainsaw,0.4175756178685558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barge,0.4108288600480675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washing_machine,0.4074627952920761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
houseboat,0.40321044520301086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broom,0.40308279810202485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skis,0.40155621276897213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
porsche,0.39928336126059677,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
helmet,0.39241927831096396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
