/Users/piasommerauer/Data/dsm/coha/coha_1990/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1990/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1990/sgns_rand_pinit3/sgns_rand_pinit3
racial,racial,racial
cultural,discrimination,racism
ethnic,racism,political
blacks,ideological,ethnic
racism,ethnic,cultural
political,political,blacks
discrimination,blacks,discrimination
ideological,cultural,gender
gender,gender,ideological
oppression,stereotypes,prejudice
violence,democratic,injustice
stereotypes,minorities,oppression
religious,violence,stereotypes
poverty,poverty,violence
prejudice,culture,religious
civil,sexual,economic
culture,harassment,artistic
minorities,oppression,minorities
sexual,hispanics,culturally
social,religious,sexual
injustice,prejudice,affirmative
hispanics,injustice,tensions
affirmative,abortion,emotional
persecution,gay,poverty
racist,artistic,social
