/Users/piasommerauer/Data/dsm/coha/coha_1990/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1990/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1990/sgns_rand_pinit3/sgns_rand_pinit3
cultural,cultural,cultural
social,social,social
historical,political,political
political,religious,historical
religious,culture,intellectual
intellectual,historical,religious
culture,intellectual,economic
economic,economic,culture
ethnic,ethnic,moral
racial,moral,racial
moral,racial,ethnic
gender,gender,gender
educational,educational,aesthetic
modernity,context,liturgical
geographical,geographical,educational
literary,values,geographical
philosophical,civic,linguistic
constitutional,societies,ideological
ethical,nationalism,philosophical
aesthetic,ethical,modernity
solzhenitsyn,ideological,contemporary
technical,linguistic,traditional
scientific,community,emotional
ideological,scientific,technical
linguistic,technical,solzhenitsyn
