Feature,Similarity,Embedding Captured,Concepts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_red,low,"no (only wine and maybe cherry are examples where I expect red to be mentioned in the context) – not indicative enough, other things that are usually not red can be red too",tomato,strawberry,rhubarb,apple,radish,cabbage,watermelon,grape,raspberry,grapefruit,onion,nectarine,geranium,currant,crab,jelly,lobster,carnation,cherry,ketchup,robin,squirrel,ladybird,wine,poppy,ant,herring,fox,tongue,hair,lipstick,lips,brick,jam,rose,heart,bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_fast,low,"No, perhaps animals and vehicles and overgeneralizes",fox,squirrel,falcon,lizard,cheetah,panther,tiger,leopard,dragonfly,kingfisher,shark,zebra,deer,hummingbird,kangaroo,bicycle,moped,car,motorcycle,skateboard,helicopter,gerbil,rollerskate,horse,speedboat,van,hawk,skis,sledge,porsche,mouse,train,bullet,ambulance,rocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_a_fruit,high,yes,pear,apricot,strawberry,melon,peach,tomato,avocado,blueberry,nectarine,apple,pineapple,grape,raspberry,rhubarb,grapefruit,satsuma,lemon,watermelon,banana,kiwi_fruit,olive,currant,tangerine,raisin,lime,cherry,coconut,sultana,orange,prune,plum,dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_long,low,no,broom,screwdriver,sword,scarf,cape,spatula,rope,shawl,trousers,wand,dressing_gown,robe,spear,necklace,crowbar,coat,bayonet,harpoon,courgette,hose,dress,leek,pencil,canoe,arrow,cucumber,tongue,scythe,spade,flute,surfboard,hair,skirt,asparagus,hoe,rifle,kayak,boots,skis,rattlesnake,aubergine,caterpillar,gown,shotgun,centipede,stockings,celery,stick,candle,rhubarb,bat,carrot,cigar,belt,millipede,leg,pen,arm,gherkin,eel,finger,bean,pin,coffin,whip,cloak,clarinet,thermometer,lorry,ladder,houseboat,rake,cigarette,barge,nail,worm,limousine,mop,ruler,train,recorder,bench,chain,coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_black,low,"no (only stereotypical example is black panther), too sparse for feature, cf other colors",wasp,spider,beetle,scorpion,leopard,cockroach,tarantula,ladybird,skunk,millipede,panther,raccoon,penguin,gorilla,pelican,ant,raven,starling,magpie,housefly,rhino,zebra,hornet,bee,tiger,sheep,mussel,cow,olive,bear,calf,flea,tights,hair,wetsuit,lantern,wand,raisin,bat,gown,stockings,poppy,slug,currant,prune,jeans,piano,cloak,coffee,clarinet,taxi,suit,limousine,football,recorder,newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
has_a_point,low,"Yes for weapons and tools, but probably just learns categories. It might learn ‘used for poking/stabbing’ ",spear,arrow,harpoon,bayonet,sword,needle,tweezers,corkscrew,dagger,pencil,trowel,screw,bullet,syringe,fork,pin,hook,nail,crayon,rocket,pyramid,anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
does_lay_eggs,low,"possible, but unlikely (only relevant if something is done with the eggs)",frog,turtle,wren,swan,sparrow,tortoise,starling,alligator,raven,penguin,duck,emu,butterfly,ostrich,platypus,eagle,nightingale,chicken,dove,flea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
does_live_in_water,high,yes,dolphin,otter,turtle,eel,crocodile,crayfish,shark,frog,alligator,jellyfish,toad,salmon,shrimp,herring,goldfish,tuna,carp,clam,beaver,mackerel,minnow,hippo,duck,flamingo,platypus,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_electric,medium (houshold-things),"Yes – may learn household things and devices, may pick up activities like charging or plugging in), but not enough evidence for eel",toaster,washing_machine,oven,dishwasher,microwave,fridge,blender,projector,kettle,lamp,camera,chainsaw,whisk,guitar,wheelchair,radio,telephone,television,eel,drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
has_eyes,low,"no, learns several animal categories but not the eye feature. We can test this.",frog,lizard,owl,dragonfly,iguana,spider,alligator,snail,squid,whale,cat,tortoise,goldfish,raccoon,chipmunk,crab,tarantula,housefly,sparrow,trout,raven,octopus,magpie,hamster,herring,prawn,minnow,bee,cod,locust,eagle,flounder,guinea_pig,mouse,dove,calf,hawk,doll,potato,slug,pony,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_yellow,low,"no, probably overgeneralizes to fruits",melon,apricot,peach,courgette,pineapple,mango,dandelion,banana,nectarine,lemon,marigold,grapefruit,sunflower,daisy,buttercup,daffodil,wasp,bee,cheese,pansy,budgie,corn,locust,hornet,leopard,giraffe,cider,goldfish,plum,beer,butter,cheetah,sandpaper,champagne,lion,canary,pyramid,crane,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_warm,low,"Yes, used in similar situations, but might overgeneralize to clothes",scarf,sweater,jacket,robe,parka,coat,tights,shawl,cape,dressing_gown,slippers,mittens,stockings,sock,gloves,boots,earmuffs,cloak,bed,soup,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_hard,low,"no, probably overgeneralizes to most prominent categories (fruit, tool)",melon,pear,marble,stone,turnip,seashell,coconut,brick,thimble,nut,bat,oyster,hammer,nail,chestnut,helmet,bullet,rock,shield,football,desk,bench,club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
