_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,does_the_description_apply_to_what_is_described,concept,does_the_description_apply_to_what_is_described_gold,identifier,property
1747782098,5/29/2018 20:52:29,false,3713205892,,5/29/2018 20:51:01,false,neodev,1.0,36957773,ARG,05,Cordoba,201.235.210.37,yes,flamingo,,description1,has_eyes
1747782098,5/29/2018 20:53:46,false,3713208374,,5/29/2018 20:50:57,false,neodev,0.8333,36113457,EGY,11,Cairo,41.237.24.120,yes,flamingo,,description1,has_eyes
1747782098,5/29/2018 20:57:15,false,3713214114,,5/29/2018 20:56:32,false,clixsense,1.0,44291437,TUR,"","",176.237.21.15,yes,flamingo,,description1,has_eyes
1747782099,5/29/2018 20:47:58,false,3713197104,,5/29/2018 20:47:26,false,clixsense,0.9333,6335115,SRB,00,Belgrade,109.93.102.63,yes,helicopter,,description2,is_noisy_loud
1747782099,5/29/2018 20:48:45,false,3713198462,,5/29/2018 20:47:40,false,elite,1.0,43548179,VEN,"","",190.206.227.45,yes,helicopter,,description2,is_noisy_loud
1747782099,5/29/2018 20:50:59,false,3713202910,,5/29/2018 20:49:22,false,neodev,0.8571,38661505,VEN,25,Caracas,201.238.25.166,yes,helicopter,,description2,is_noisy_loud
1747782100,5/29/2018 20:51:32,false,3713203937,,5/29/2018 20:50:45,false,elite,0.875,44365722,MNE,00,Podgorica,79.140.149.212,yes,ashtray,,description3,is_useful
1747782100,5/29/2018 20:51:45,false,3713204280,,5/29/2018 20:50:49,false,clixsense,1.0,44291437,TUR,"","",176.237.21.15,yes,ashtray,,description3,is_useful
1747782100,5/29/2018 20:52:28,false,3713205860,,5/29/2018 20:50:49,false,neodev,1.0,44299659,VEN,04,Maracay,201.208.10.144,yes,ashtray,,description3,is_useful
1747782101,5/29/2018 20:50:47,false,3713202551,,5/29/2018 20:50:29,false,clixsense,1.0,44291437,TUR,"","",176.237.21.15,yes,yacht,,description4,is_fast
1747782101,5/29/2018 20:51:29,false,3713203832,,5/29/2018 20:50:23,false,elite,0.8889,39343009,SRB,00,Belgrade,95.180.110.56,no,yacht,,description4,is_fast
1747782101,5/29/2018 20:52:25,false,3713205748,,5/29/2018 20:50:20,false,clixsense,1.0,44118241,TUR,"","",88.231.180.197,yes,yacht,,description4,is_fast
1747782102,5/29/2018 20:47:58,false,3713197090,,5/29/2018 20:47:26,false,clixsense,0.9333,6335115,SRB,00,Belgrade,109.93.102.63,yes,lemonade,,description5,is_yellow
1747782102,5/29/2018 20:48:45,false,3713198456,,5/29/2018 20:47:40,false,elite,1.0,43548179,VEN,"","",190.206.227.45,yes,lemonade,,description5,is_yellow
1747782102,5/29/2018 20:50:59,false,3713202904,,5/29/2018 20:49:22,false,neodev,0.8571,38661505,VEN,25,Caracas,201.238.25.166,yes,lemonade,,description5,is_yellow
1747782103,5/29/2018 20:52:11,false,3713205204,,5/29/2018 20:51:33,false,neodev,0.8571,29765103,ISR,04,Haifa,46.120.57.104,no,bow_(weapon),,description6,has_roots
1747782103,5/29/2018 20:54:52,false,3713210189,,5/29/2018 20:52:10,false,neodev,0.8333,43912110,EGY,11,Cairo,154.184.40.65,no,bow_(weapon),,description6,has_roots
1747782103,5/29/2018 22:24:24,false,3713400065,,5/29/2018 22:24:08,false,prodege,0.9091,3587109,CAN,NS,Larrys River,47.54.157.138,no,bow_(weapon),,description6,has_roots
1747782104,5/29/2018 20:51:38,false,3713204088,,5/29/2018 20:51:04,false,clixsense,0.9333,6335115,SRB,00,Belgrade,109.93.102.63,no,scythe,,description7,is_dangerous
1747782104,5/29/2018 20:52:50,false,3713206593,,5/29/2018 20:51:06,false,elite,0.8333,43899480,VEN,"","",186.95.10.218,yes,scythe,,description7,is_dangerous
1747782104,5/29/2018 20:55:30,false,3713211426,,5/29/2018 20:51:02,false,neodev,0.8571,38661505,VEN,25,Caracas,201.238.25.166,yes,scythe,,description7,is_dangerous
1747782105,5/29/2018 20:53:10,false,3713207190,,5/29/2018 20:51:21,false,clixsense,0.8333,44186816,RUS,60,Pskov,31.130.70.52,yes,spinach,,description8,is_a_plant
1747782105,5/29/2018 20:53:54,false,3713208554,,5/29/2018 20:51:25,false,clixsense,0.8333,36841019,IND,16,Thane,49.32.143.150,yes,spinach,,description8,is_a_plant
1747782105,5/29/2018 20:55:10,false,3713210841,,5/29/2018 20:54:28,false,elite,0.8889,39343009,SRB,00,Belgrade,95.180.110.56,yes,spinach,,description8,is_a_plant
1747782106,5/29/2018 20:52:53,false,3713206661,,5/29/2018 20:52:27,false,clixsense,1.0,44291437,TUR,"","",176.237.21.15,yes,crab,,description9,is_tasty
1747782106,5/29/2018 20:52:55,false,3713206699,,5/29/2018 20:52:25,false,elite,0.8889,39343009,SRB,00,Belgrade,95.180.110.56,no,crab,,description9,is_tasty
1747782106,5/29/2018 20:53:02,false,3713206879,,5/29/2018 20:52:25,false,clixsense,0.9333,6335115,SRB,00,Belgrade,109.93.102.63,yes,crab,,description9,is_tasty
1747782107,5/29/2018 20:52:23,false,3713205690,,5/29/2018 20:51:40,false,clixsense,0.9333,6335115,SRB,00,Belgrade,109.93.102.63,no,bullet,,description10,is_long
1747782107,5/29/2018 20:52:25,false,3713205779,,5/29/2018 20:51:46,false,clixsense,1.0,44291437,TUR,"","",176.237.21.15,no,bullet,,description10,is_long
1747782107,5/29/2018 22:25:05,false,3713401440,,5/29/2018 22:24:46,false,prodege,0.9091,3587109,CAN,NS,Larrys River,47.54.157.138,no,bullet,,description10,is_long
1747782108,5/29/2018 20:50:47,false,3713202553,,5/29/2018 20:50:29,false,clixsense,1.0,44291437,TUR,"","",176.237.21.15,yes,artichoke,,description11,is_tasty
1747782108,5/29/2018 20:51:29,false,3713203829,,5/29/2018 20:50:23,false,elite,0.8889,39343009,SRB,00,Belgrade,95.180.110.56,no,artichoke,,description11,is_tasty
1747782108,5/29/2018 20:52:25,false,3713205757,,5/29/2018 20:50:20,false,clixsense,1.0,44118241,TUR,"","",88.231.180.197,yes,artichoke,,description11,is_tasty
