/Users/piasommerauer/Data/dsm/coha/coha_1950/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1950/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1950/sgns_rand_pinit3/sgns_rand_pinit3
racial,racial,racial
discrimination,discrimination,segregation
segregation,segregation,discrimination
desegregation,religious,desegregation
political,desegregation,political
religious,prejudice,religious
subversive,cultural,integration
democracy,democracy,democracy
prejudice,political,definition
cultural,doctrines,nationalism
minority,ideological,prejudice
social,laws,race
fascist,poverty,cultural
irrelevant,nationalism,negroes
nationalism,minority,minority
prevalent,unification,subversive
definition,social,referendum
emotions,definition,tolerance
referendum,socialism,unrest
fright,emotions,constitutional
communism,negroes,education
race,integration,prevalent
education,federal,widespread
religion,crime,social
crimes,education,doctrine
