Abbie,  Abe,  Abie	(North America) a Jewish male. From the proper name Abraham. Originated before the 1950s.[1]
	
ABC	(East Asia) American-born Chinese, Han or other Chinese (including Taiwanese) born and raised in the United States. The term implies an otherness or lack of connection to their Chinese identity and (usually) Chinese language; however, it has been reappropriated by many Chinese Americans and used to convey positive connotations.[2]
	
ABCD	(South Asians in the US) American-Born Confused Desi, Indian Americans, Pakistani Americans or other South Asians, (desi) who were born in the United States. Used chiefly by South Asian immigrants to imply confusion about cultural identity.[3]
	
Abib, Abeed	(Middle East and North Africa) an Arabic term for slave, often used as a racial slur against black Africans and is associated with the Arab slave trade.[4]
	
Abo, Abbo	(AUS) Australian Aboriginal person. Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas, Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is deliberately to offend, as that word's status as an insult is unequivocal.[5]
	
Afro engineering, African engineering, nigger rigging	(US) Shoddy, second-rate workmanship.[6]
	
Ali Baba	(US) an Iraqi suspected of criminal activity.[7]
	
Alligator bait	(US) also Gator Bait. A black person, especially a black child. More commonly used in states where alligators are found, particularly Florida. First used in the early 20th century, although some hypothesize the term originated in the late 19th century.[8]
	
Ann	"(North America) a white woman to a black person—or a black woman who acts ""like a white woman"". While Miss Ann, also just plain Ann, is a derisive reference to white women, it is also applied to any black woman who is deemed to be acting as though she is white.[9]"
	
Annamite	Annamite or mites, a derogatory name for Vietnamese people. (French, English)[10][11][12]
	
Ape	A black person, referring to outdated theories ascribing cultural differences between ethnic groups as being linked to their evolutionary distance from chimpanzees, with which humans share common ancestry.[13][14]
	
Apple	"(North America) an American Indian (Native American) who is ""red on the outside, white on the inside."" Used primarily by other American Indians to indicate someone who has lost touch with their cultural identity. First used in the 1970s.[15]"
	
Arabush	"(Israel) Arabs, derived from Hebrew ""Aravi"" (Arab) which is itself inoffensive.[16]"
	
Armo	(US) an Armenian/Armenian American.[17] Especially used in Southern California.[18]
	
Aunt Jemima,  Aunt Jemima, Aunt Jane,  Aunt Mary, Aunt Sally	"(US) a black woman who ""kisses up"" to whites, a ""sellout,"" female counterpart of Uncle Tom.[19]"
	
	
Banana	(North America; UK; Malaysia) an East or Southeast Asian person living in a Western country (e.g., an Asian American) who is yellow on the outside, white on the inside. Used primarily by East or Southeast Asians to indicate someone who has lost touch with the cultural identity of his or her parents.[20]
	
Beaner,  Beaney	(US) people of Mexican descent or, more specifically, mestizos of Central American descent.[21][22] The term originates from the use of frijoles pintos and other beans in Mexican food.[23]
	
Béni-oui-oui	Mostly used during the French colonization of Algeria as a derogatory term to describe Algerian Muslims.[24]
	
Bluegum	(US) an African American perceived as being lazy and unwilling to work.[25]
	
Boche, bosche, bosch	"(France; US; UK) a German (shortened from the French term caboche dure ""hard head"" or ""stubborn"").[26]"
	
Boeotian	A term used by the Athenians, referring to the supposed stupidity of the inhabitants of the neighboring Boeotia region of Greece.[27]
	
Boerehater,  Boer-hater, Boer hater	a person who hates, prejudices or criticises the Boers, or Afrikaners – historically applied to British people prejudiced against the Boers.[28][29][30]  (South Africa; UK)
	
Bog Irish, Bogtrotter, Bog-trotter	(UK, Ireland, US) a person of common or low-class Irish ancestry.[31][32]
	
Bohunk	(North America) a lower-class immigrant of Central European descent. Originally referred to those of Bohemian (now Czech Republic) descent. It was commonly used toward Central European immigrants during the early 20th century. Probably from Bohemian + a distortion of Hungarian.[33] See also hunky.
	
