/Users/piasommerauer/Data/dsm/coha/coha_1940/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1940/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1940/sgns_rand_pinit3/sgns_rand_pinit3
cultural,cultural,cultural
social,social,social
culture,culture,culture
biological,biological,economic
economic,economic,biological
political,political,educational
scientific,physical,physical
personality,scientific,education
intellectual,educational,political
educational,education,scientific
concept,personality,personality
cultures,concept,concept
environment,cultures,geographic
technological,environment,environment
sexual,technical,sexual
physiological,desires,physiological
traditions,organism,spiritual
knowledge,technological,racial
education,industrial,curriculum
racial,knowledge,welfare
society,development,definite
physical,geographic,technological
dynamic,sexual,intellectual
techniques,morality,linguistic
concepts,concepts,knowledge
